dataset,series,group,gt_nodes,est_nodes,track_count,total_nodes,mean_length,mean_raw_intensity,mean_dog_response,mean_step_um,mean_total_disp_um
44b6_12dfb391,44b6,Group A: GT Cells,788,58672,122,1306,10.704918032786885,1600.7672982910724,173.79866390307723,1.4090593993347027,4.499222507163659
44b6_12dfb391,44b6,Group B: Static Optical Noise,788,58672,5227,6270,1.1995408456093362,1467.6176402134583,145.6242195680276,0.048281916254175515,0.064992520481429
44b6_12dfb391,44b6,Group C: Unannotated Cells,788,58672,7321,73913,10.096025133178527,1598.056790035687,173.32727952021673,1.640982244347035,5.10705368608927
44b6_144b256d,44b6,Group A: GT Cells,121,65376,12,141,11.75,1114.2001736493262,47.43051511829042,1.1849523016597494,3.1531529955371096
44b6_144b256d,44b6,Group B: Static Optical Noise,121,65376,6350,9103,1.4335433070866141,1197.2998729011088,64.04345719842625,0.07842788914887955,0.11140010009971667
44b6_144b256d,44b6,Group C: Unannotated Cells,121,65376,7537,93621,12.42152049887223,1273.5397964138904,80.20971153307987,1.4712008153451157,4.57744244154171
44b6_1574802b,44b6,Group A: GT Cells,155,17677,22,337,15.318181818181818,1500.1428700156466,166.0386133893625,2.199068069942866,17.725562064648084
44b6_1574802b,44b6,Group B: Static Optical Noise,155,17677,992,1120,1.1290322580645162,922.1726406490014,62.05431142571152,0.033519762454184476,0.04595590845868643
44b6_1574802b,44b6,Group C: Unannotated Cells,155,17677,1932,21129,10.936335403726709,1102.8712793491693,94.09545935129889,1.983125576024227,10.672870009133893
44b6_18ced818,44b6,Group A: GT Cells,100,78644,19,208,10.947368421052632,2079.3004717676545,165.24418447169163,1.9261717547941473,13.86610463901642
44b6_18ced818,44b6,Group B: Static Optical Noise,100,78644,8906,9301,1.0443521221648326,1667.2160294557978,106.26497085449073,0.014592832030191382,0.01778770147040324
44b6_18ced818,44b6,Group C: Unannotated Cells,100,78644,16053,103832,6.468074503208123,1798.5606951150241,132.6610564101644,2.308829780968151,7.076990538348613
44b6_1d530831,44b6,Group A: GT Cells,276,35825,46,481,10.456521739130435,2411.16861343574,190.70102128822143,1.7947475151559276,9.244134003819907
44b6_1d530831,44b6,Group B: Static Optical Noise,276,35825,3747,4017,1.0720576461168936,1580.9031224979983,101.47215104227014,0.02201518881402927,0.028122089407830547
44b6_1d530831,44b6,Group C: Unannotated Cells,276,35825,6023,50636,8.407106093308983,1807.4937028234208,143.66778696499264,2.1776925919062116,8.442588844605522
44b6_24264f12,44b6,Group A: GT Cells,230,26353,36,289,8.027777777777779,1923.953562768859,197.1643483876021,2.245976188065498,14.039902439181013
44b6_24264f12,44b6,Group B: Static Optical Noise,230,26353,1732,1813,1.0467667436489607,1234.5532140107775,107.50800074459133,0.014688302046426698,0.018250791961310426
44b6_24264f12,44b6,Group C: Unannotated Cells,230,26353,3378,31778,9.407341622261693,1431.0175905676606,147.51144700298104,2.4210283330865447,14.264959245383196
44b6_267148e4,44b6,Group A: GT Cells,280,19130,78,569,7.294871794871795,1628.385155657747,102.9844160113471,2.1514319004286175,8.118402493192008
44b6_267148e4,44b6,Group B: Static Optical Noise,280,19130,2539,2592,1.0208743599842458,1369.5290140475252,72.61019026646233,0.006902385787908325,0.007794120517138736
44b6_267148e4,44b6,Group C: Unannotated Cells,280,19130,4006,25950,6.477783325012481,1502.3603190808824,94.55365176597304,2.9452423207458573,9.29905988495364
44b6_2a2eff9f,44b6,Group A: GT Cells,214,56367,19,337,17.736842105263158,1191.8925065646429,88.26610935311417,1.5621480277859314,19.33439418921938
44b6_2a2eff9f,44b6,Group B: Static Optical Noise,214,56367,4220,4664,1.1052132701421802,1040.6564526587158,60.78628957677256,0.026123453604468546,0.03317770076339026
44b6_2a2eff9f,44b6,Group C: Unannotated Cells,214,56367,7445,69611,9.350033579583613,1119.8089899232948,77.35696630817709,1.9951526096513468,8.788438166438782
44b6_2f31fc2f,44b6,Group A: GT Cells,89,24368,37,245,6.621621621621622,1803.6879589727419,64.48293461245348,2.681289076871491,10.384591873591354
44b6_2f31fc2f,44b6,Group B: Static Optical Noise,89,24368,4558,4765,1.04541465555068,1574.645304958315,46.37612701054464,0.013508700622348683,0.016219145612543368
44b6_2f31fc2f,44b6,Group C: Unannotated Cells,89,24368,6453,34784,5.390361072369441,1658.2881038265575,61.48095647683692,2.9389856812700716,8.279734935728746
44b6_33b596bf,44b6,Group A: GT Cells,50,23330,4,92,23.0,1266.2880722337245,121.02081556475954,2.7953061123836322,41.195222315221976
44b6_33b596bf,44b6,Group B: Static Optical Noise,50,23330,2354,2424,1.0297366185216652,925.9113818424565,75.36773124133353,0.00880412010708033,0.010500995933251074
44b6_33b596bf,44b6,Group C: Unannotated Cells,50,23330,3697,27679,7.48688125507168,1049.7613671957959,97.69395966378781,2.6945975645979603,10.930197334404182
44b6_341df25f,44b6,Group A: GT Cells,216,7436,15,249,16.6,1142.6382988616322,125.10041872490288,1.691751161273235,15.01922824104264
44b6_341df25f,44b6,Group B: Static Optical Noise,216,7436,513,650,1.267056530214425,501.8866241782908,34.27479175818833,0.04797724592722595,0.07103827923455841
44b6_341df25f,44b6,Group C: Unannotated Cells,216,7436,660,8744,13.248484848484848,700.2465320079259,66.20918144617683,1.7904177181883996,10.775570951033695
44b6_3a861e03,44b6,Group A: GT Cells,935,40546,134,1500,11.194029850746269,1559.9575066018724,201.181474339114,1.6709789892630895,7.296502023149435
44b6_3a861e03,44b6,Group B: Static Optical Noise,935,40546,3412,3719,1.089976553341149,1140.8439942360299,128.20988965498464,0.02610646258497706,0.03387851251928241
44b6_3a861e03,44b6,Group C: Unannotated Cells,935,40546,5125,47967,9.359414634146342,1305.2582752317462,161.3571481745188,1.994296261067559,6.848822369812556
44b6_3bb3690f,44b6,Group A: GT Cells,400,31937,99,741,7.484848484848484,2153.2762128662516,116.957222209604,1.4400682984283835,5.358677615317564
44b6_3bb3690f,44b6,Group B: Static Optical Noise,400,31937,5777,6693,1.158559806127748,2672.532203373531,99.56910342544482,0.04394427444729637,0.057853551279270665
44b6_3bb3690f,44b6,Group C: Unannotated Cells,400,31937,7543,53759,7.127005170356622,2795.392046448127,124.17975890824398,1.869666329829048,4.865009671047544
44b6_40c45f5a,44b6,Group A: GT Cells,200,32681,39,390,10.0,3624.698133592289,286.2476478484819,1.5161981817410157,8.1068162079696
44b6_40c45f5a,44b6,Group B: Static Optical Noise,200,32681,3906,4320,1.1059907834101383,2565.1355018765153,161.4003834358852,0.03109279324283281,0.03910420315355903
44b6_40c45f5a,44b6,Group C: Unannotated Cells,200,32681,5869,45515,7.755154200034077,2780.0205721029956,204.61095157183115,1.9455875505423104,5.502837573484496
44b6_415c0a3a,44b6,Group A: GT Cells,331,57292,53,745,14.056603773584905,1252.6862762428304,75.90534512146213,1.180399984609713,6.408751194914408
44b6_415c0a3a,44b6,Group B: Static Optical Noise,331,57292,3359,4195,1.248883596308425,1290.253753930235,87.4223905650867,0.05518100858490424,0.07495075306694907
44b6_415c0a3a,44b6,Group C: Unannotated Cells,331,57292,5564,68333,12.281272465851906,1374.2664307203383,106.1043810908972,1.6367151306838392,7.137347390906373
44b6_53f95252,44b6,Group A: GT Cells,70,38715,9,113,12.555555555555555,2516.8077309038094,208.6135725037858,1.9637495814117583,11.403325814480748
44b6_53f95252,44b6,Group B: Static Optical Noise,70,38715,4227,4766,1.1275136030281523,2060.3388374433443,116.30911581603603,0.03406866162126933,0.04408097424340822
44b6_53f95252,44b6,Group C: Unannotated Cells,70,38715,6544,53001,8.099174816625917,2213.1045362797245,142.38796768102213,1.9774509732151284,5.6661277956763545
44b6_551a5dba,44b6,Group A: GT Cells,228,57627,55,494,8.981818181818182,3023.3945566266348,226.66222728301202,1.2952181935151068,5.214746073609359
44b6_551a5dba,44b6,Group B: Static Optical Noise,228,57627,7979,9558,1.197894472991603,2551.921464650986,174.21396810069479,0.053927418623302976,0.07036718724458477
44b6_551a5dba,44b6,Group C: Unannotated Cells,228,57627,10556,84863,8.039314134141721,2687.156203961271,205.46227097748613,1.7387088641392712,4.499886602917158
44b6_5740d24b,44b6,Group A: GT Cells,173,19730,5,242,48.4,1912.0911825787346,137.10855637814126,1.7650949876893915,40.538720490343465
44b6_5740d24b,44b6,Group B: Static Optical Noise,173,19730,5174,5546,1.0718979512949363,1728.6444380609726,37.68920053950621,0.01911367734148029,0.024872076968568666
44b6_5740d24b,44b6,Group C: Unannotated Cells,173,19730,5563,34484,6.1988135897896814,1782.5058920902916,50.669354183727656,2.1894738620043364,5.186525876301746
44b6_587a1e22,44b6,Group A: GT Cells,381,18137,42,600,14.285714285714286,1362.9270093163825,169.13853767432425,2.5682526429488437,21.009337274101533
44b6_587a1e22,44b6,Group B: Static Optical Noise,381,18137,604,624,1.033112582781457,792.2353752759382,68.28767443861129,0.01080717916710081,0.01159738870718909
44b6_587a1e22,44b6,Group C: Unannotated Cells,381,18137,1829,20374,11.139420448332421,980.5497523820629,104.06861835489833,2.652868610356143,14.737934946163026
44b6_5f15d135,44b6,Group A: GT Cells,278,29519,51,529,10.372549019607844,2132.719087777067,76.01609538149829,1.7829118166756155,11.031642787592155
44b6_5f15d135,44b6,Group B: Static Optical Noise,278,29519,5212,5619,1.0780890253261703,1923.2062658364703,51.47669941296038,0.021067710750332716,0.02727070401267319
44b6_5f15d135,44b6,Group C: Unannotated Cells,278,29519,7016,50521,7.200826681870011,2001.9142386125989,66.10520197446968,2.233357503766217,7.558433330377311
44b6_668e0cc7,44b6,Group A: GT Cells,643,39701,79,1209,15.30379746835443,1417.8962426221453,140.48346366672047,1.8852227262534262,17.711247024318432
44b6_668e0cc7,44b6,Group B: Static Optical Noise,643,39701,1795,1967,1.0958217270194985,1076.5608192271982,90.87983787570951,0.025943700409754675,0.031940878941877936
44b6_668e0cc7,44b6,Group C: Unannotated Cells,643,39701,3675,42884,11.669115646258504,1239.2522916708763,121.47636963329782,2.145377668813238,12.099727512131997
44b6_66f9292d,44b6,Group A: GT Cells,200,52710,31,303,9.774193548387096,1249.2293028208353,55.729028629387685,1.0712786030062953,2.281456204530669
44b6_66f9292d,44b6,Group B: Static Optical Noise,200,52710,4408,6067,1.3763611615245008,1257.1519022726613,62.88914230505705,0.07377398775013545,0.10596217980349819
44b6_66f9292d,44b6,Group C: Unannotated Cells,200,52710,5790,71050,12.271157167530225,1330.0689316314522,78.20004076130948,1.5096233775300463,4.883551312980053
44b6_706092f0,44b6,Group A: GT Cells,118,69898,23,203,8.826086956521738,1064.5429884737803,71.13836622748872,1.289764953477336,2.4826143005744123
44b6_706092f0,44b6,Group B: Static Optical Noise,118,69898,10072,14708,1.460285941223193,1385.005049303898,101.90810863270833,0.0890132017265226,0.12812600777072936
44b6_706092f0,44b6,Group C: Unannotated Cells,118,69898,10467,103328,9.87178752269036,1478.4816773904308,121.66543834075821,1.4754323379249503,3.3705482878933695
44b6_71a4179f,44b6,Group A: GT Cells,121,67688,24,249,10.375,1286.1505606661856,94.44112531534465,1.3130651825286506,3.6445529520676225
44b6_71a4179f,44b6,Group B: Static Optical Noise,121,67688,8713,11917,1.367726385860209,1508.1467862161967,120.34487103739772,0.07992923019047198,0.11455795712625916
44b6_71a4179f,44b6,Group C: Unannotated Cells,121,67688,9472,93897,9.91311233108108,1583.1377217478223,137.11231133106816,1.4954330912709455,3.7443181227503946
44b6_74d0c52e,44b6,Group A: GT Cells,140,15090,21,297,14.142857142857142,2087.72614627472,151.71787062405087,1.9419314276845139,12.456937455389918
44b6_74d0c52e,44b6,Group B: Static Optical Noise,140,15090,6505,6977,1.0725595695618755,2747.689332015666,44.711391244948835,0.0209368698065683,0.026577805472746265
44b6_74d0c52e,44b6,Group C: Unannotated Cells,140,15090,6634,38216,5.760627072656014,2771.3134437163353,58.18734919346203,2.2308459390508233,4.594144214434499
44b6_7a302da0,44b6,Group A: GT Cells,516,66858,81,879,10.851851851851851,2835.697256567757,239.16820248391247,1.407058899288881,5.828362577862089
44b6_7a302da0,44b6,Group B: Static Optical Noise,516,66858,7565,9043,1.1953734302709849,2246.6560362905807,157.52656851491122,0.051762831430745754,0.07000671396292131
44b6_7a302da0,44b6,Group C: Unannotated Cells,516,66858,10218,92185,9.021824231747896,2481.498106602791,197.85378731632883,1.7579878006842573,4.812017901058175
44b6_7e557709,44b6,Group A: GT Cells,570,56060,78,754,9.666666666666666,1559.8649138078863,182.82704445069047,1.149788532682665,4.10039406455346
44b6_7e557709,44b6,Group B: Static Optical Noise,570,56060,4237,5293,1.2492329478404531,1256.3230534279198,140.09820972657386,0.05729432859146621,0.08189312702825419
44b6_7e557709,44b6,Group C: Unannotated Cells,570,56060,5806,67637,11.649500516706855,1358.608224482529,163.53727113334017,1.5202260993675787,5.489742118497289
44b6_808952d6,44b6,Group A: GT Cells,181,15742,3,188,62.666666666666664,1198.7279310344827,155.12588341957766,1.0616722961357195,55.19215107347301
44b6_808952d6,44b6,Group B: Static Optical Noise,181,15742,1200,1406,1.1716666666666666,718.7284375,35.79629639265272,0.0405013665292279,0.05622812973103038
44b6_808952d6,44b6,Group C: Unannotated Cells,181,15742,1501,19522,13.00599600266489,838.0861597081332,59.33668938248398,1.73780841567282,10.784887281447821
44b6_81c256f0,44b6,Group A: GT Cells,199,10052,3,201,67.0,1211.1042955326461,153.89363709335066,1.7844300529532509,61.10979366068799
44b6_81c256f0,44b6,Group B: Static Optical Noise,199,10052,614,785,1.278501628664495,549.2126182720644,36.494316115649795,0.05184555777305298,0.07372106856384315
44b6_81c256f0,44b6,Group C: Unannotated Cells,199,10052,803,12191,15.181818181818182,712.6992085764543,63.84645169097691,1.6747281761743615,11.93353081542534
44b6_87bba6c4,44b6,Group A: GT Cells,153,28102,56,386,6.892857142857143,1475.8389312944003,86.8505662525403,2.2336779449426496,10.79448950392272
44b6_87bba6c4,44b6,Group B: Static Optical Noise,153,28102,3748,3846,1.0261472785485592,1267.8182230522943,63.69423538039732,0.00737055363948231,0.009353168178518376
44b6_87bba6c4,44b6,Group C: Unannotated Cells,153,28102,6060,34963,5.769471947194719,1351.4961187071208,78.59929888366624,2.9994674974553335,9.13608872224129
44b6_8cc6506c,44b6,Group A: GT Cells,400,32172,72,686,9.527777777777779,2409.240220342682,140.59629910002766,1.4356193818067489,7.709839242454283
44b6_8cc6506c,44b6,Group B: Static Optical Noise,400,32172,5107,5687,1.1135696103387507,2996.919239543608,112.5516056293402,0.03322065851878534,0.044120017593101045
44b6_8cc6506c,44b6,Group C: Unannotated Cells,400,32172,7352,51694,7.031284004352557,3089.564388747264,138.76600037989965,1.9902603454988403,5.784361946736661
44b6_8f5ab931,44b6,Group A: GT Cells,616,27571,87,1050,12.068965517241379,2217.6379698760793,168.9127651542876,1.8672799949852452,11.520688245959194
44b6_8f5ab931,44b6,Group B: Static Optical Noise,616,27571,1850,2110,1.1405405405405404,1663.5557915057916,98.35538892446002,0.03517943442458829,0.04691890347084013
44b6_8f5ab931,44b6,Group C: Unannotated Cells,616,27571,3229,33984,10.524620625580676,1815.3738683612821,130.0716670090943,1.965283635869039,8.806539614325496
44b6_8f9ecab4,44b6,Group A: GT Cells,374,74833,42,483,11.5,1300.0308976767524,81.03073190705065,0.7776272589789511,2.82844251539526
44b6_8f9ecab4,44b6,Group B: Static Optical Noise,374,74833,6654,8950,1.3450556056507363,1434.8898255757222,111.1694149922145,0.07430682709087942,0.10384380527265132
44b6_8f9ecab4,44b6,Group C: Unannotated Cells,374,74833,8337,96423,11.565671104713926,1520.0470694381734,129.30745857783887,1.487008204458811,4.535199552147002
44b6_90724892,44b6,Group A: GT Cells,105,25532,13,181,13.923076923076923,2485.0628427128427,199.18982295441646,2.0008679193488237,21.715496396749526
44b6_90724892,44b6,Group B: Static Optical Noise,105,25532,2466,2597,1.0531224655312246,1288.819721546364,98.05892740802915,0.01289545139453555,0.015700465776920778
44b6_90724892,44b6,Group C: Unannotated Cells,105,25532,4148,32542,7.845226615236259,1473.7227459299372,132.11810787240816,2.374735693540847,10.69227647040663
44b6_949adeb1,44b6,Group A: GT Cells,388,37179,80,638,7.975,2253.727972325102,166.06573987047256,1.9675282330959554,9.710338004730321
44b6_949adeb1,44b6,Group B: Static Optical Noise,388,37179,3592,3843,1.0698775055679288,1542.8126508504,89.77670240306989,0.018709133574565846,0.023487279835721547
44b6_949adeb1,44b6,Group C: Unannotated Cells,388,37179,6175,49034,7.940728744939271,1717.7172786922258,123.14626053369027,2.3819983637681776,9.847190404890702
44b6_95029e92,44b6,Group A: GT Cells,200,5161,5,200,40.0,639.0928181818182,95.34229287719727,2.0183886099055397,13.07385983721547
44b6_95029e92,44b6,Group B: Static Optical Noise,200,5161,810,924,1.1407407407407408,219.72226337448558,14.25524880758529,0.03905733983764353,0.04755873417561401
44b6_95029e92,44b6,Group C: Unannotated Cells,200,5161,755,7202,9.53907284768212,274.0119938336568,23.107930051967347,1.8317550539912455,6.171155563916502
44b6_97725144,44b6,Group A: GT Cells,225,35774,34,311,9.147058823529411,1791.2295302800494,115.23988716076565,2.2006512108625302,10.544028008450546
44b6_97725144,44b6,Group B: Static Optical Noise,225,35774,4806,5137,1.0688722430295463,1833.5610053405464,77.35217141570087,0.020020809039131903,0.025149235843314157
44b6_97725144,44b6,Group C: Unannotated Cells,225,35774,6922,54343,7.850765674660503,1951.1531981421558,96.71451204452575,2.2998897124247497,7.264024043650651
44b6_996155de,44b6,Group A: GT Cells,380,7573,17,538,31.647058823529413,878.2369486427049,80.25015675723603,1.237371848741878,16.31472268957794
44b6_996155de,44b6,Group B: Static Optical Noise,380,7573,825,1083,1.3127272727272727,938.3786187415278,46.81019450560504,0.06352151543935718,0.09533128014221533
44b6_996155de,44b6,Group C: Unannotated Cells,380,7573,954,11984,12.561844863731656,1034.1511900047406,67.55344584572893,1.5936217332365565,6.60287844563051
44b6_9be80b04,44b6,Group A: GT Cells,222,57877,38,323,8.5,2869.1294092408566,217.2745185674896,1.1316008651371758,3.8344069918370445
44b6_9be80b04,44b6,Group B: Static Optical Noise,222,57877,9376,12120,1.2926621160409557,2320.0418309527313,138.6736634923309,0.06706142510546602,0.09032029931548839
44b6_9be80b04,44b6,Group C: Unannotated Cells,222,57877,10866,91773,8.445886250690226,2474.442248898124,166.25270461024868,1.6662013608454496,3.6005104130465604
44b6_9bfa6a0a,44b6,Group A: GT Cells,264,64308,67,553,8.253731343283581,1337.7461936684972,121.57912313452029,1.443440621401567,2.7355286207554825
44b6_9bfa6a0a,44b6,Group B: Static Optical Noise,264,64308,5922,7905,1.334853090172239,1440.9355788654136,131.5104515500924,0.07243340945311522,0.10358745368639864
44b6_9bfa6a0a,44b6,Group C: Unannotated Cells,264,64308,7406,82351,11.119497704563868,1523.8921238918622,150.3884125185159,1.508750085091982,4.059248466817954
44b6_a21120c2,44b6,Group A: GT Cells,296,23040,39,529,13.564102564102564,1447.294955920396,203.41142915496152,2.7250436390660044,21.05946014107328
44b6_a21120c2,44b6,Group B: Static Optical Noise,296,23040,836,881,1.0538277511961722,987.9236443381179,119.70378806982694,0.01775167057198284,0.02188777678308821
44b6_a21120c2,44b6,Group C: Unannotated Cells,296,23040,2196,24264,11.049180327868852,1174.0391988424233,156.47864484936073,2.6908852243534995,17.30355786971274
44b6_a2bb48bb,44b6,Group A: GT Cells,416,60613,117,843,7.205128205128205,3392.2782193934445,215.43226436775979,1.810045519528887,5.627252181328764
44b6_a2bb48bb,44b6,Group B: Static Optical Noise,416,60613,8743,9602,1.098250028594304,3277.4707901922447,151.31879985168823,0.028994358047432264,0.03611258404460359
44b6_a2bb48bb,44b6,Group C: Unannotated Cells,416,60613,12629,85101,6.738538284899834,3452.6374465928875,192.21803019426815,2.1024816674038527,5.117081394157353
44b6_aaf8b0ea,44b6,Group A: GT Cells,209,22099,7,243,34.714285714285715,831.3636598831911,86.54409621648902,1.4131805271513596,21.54575356104952
44b6_aaf8b0ea,44b6,Group B: Static Optical Noise,209,22099,3105,3564,1.1478260869565218,1180.2543593356104,35.344302559044635,0.03279339405972972,0.04608710747891384
44b6_aaf8b0ea,44b6,Group C: Unannotated Cells,209,22099,3409,31618,9.274860662951012,1236.6163741605246,50.975903531918924,1.835218864063693,6.275261279649394
44b6_abf82518,44b6,Group A: GT Cells,96,27604,7,128,18.285714285714285,1335.4593616393925,138.06246261337978,1.6916186913473268,26.444430905941747
44b6_abf82518,44b6,Group B: Static Optical Noise,96,27604,1612,2124,1.317617866004963,1016.2929513765804,56.7848533456988,0.061405447210186793,0.08790090490812176
44b6_abf82518,44b6,Group C: Unannotated Cells,96,27604,2686,32496,12.098287416232315,1107.1905533822783,77.06818883305311,1.6955320489127255,8.606858262491334
44b6_b2c44266,44b6,Group A: GT Cells,170,59729,24,247,10.291666666666666,1312.0919874841068,103.46493577325528,1.7107390613318725,4.065313803256971
44b6_b2c44266,44b6,Group B: Static Optical Noise,170,59729,6871,8539,1.2427594236646777,1605.2871682885386,128.79532698737128,0.055850280643696924,0.07667407448887222
44b6_b2c44266,44b6,Group C: Unannotated Cells,170,59729,8512,81466,9.570723684210526,1746.1550226218453,155.8855330861917,1.615725865455036,3.916741864326481
44b6_c15fded2,44b6,Group A: GT Cells,104,20585,28,266,9.5,1318.215130670313,144.2663327766361,2.5980469432852735,16.899151500150793
44b6_c15fded2,44b6,Group B: Static Optical Noise,104,20585,3054,3136,1.0268500327439423,726.9921141672125,60.08421534363605,0.009147222873241637,0.010284912888585825
44b6_c15fded2,44b6,Group C: Unannotated Cells,104,20585,4375,27349,6.2512,900.1854227102552,88.77143318350709,2.674838041092693,9.464936441119498
44b6_c50204e0,44b6,Group A: GT Cells,333,47078,89,709,7.966292134831461,3028.407587420942,186.0464795824999,1.9488003412373676,6.155646674167913
44b6_c50204e0,44b6,Group B: Static Optical Noise,333,47078,6692,7301,1.0910041841004183,2456.466503002875,102.98032875753768,0.026550300265189963,0.033380279572776776
44b6_c50204e0,44b6,Group C: Unannotated Cells,333,47078,9386,64519,6.873961218836565,2604.458624368609,134.10717874586794,2.1110186331890697,5.353885320329476
44b6_c771cb04,44b6,Group A: GT Cells,227,53345,51,452,8.862745098039216,2779.0035826685616,128.14012619430633,1.5967570489125482,5.7908099381713996
44b6_c771cb04,44b6,Group B: Static Optical Noise,227,53345,6275,7199,1.1472509960159363,2569.6418439517543,110.64082090741373,0.03688042551225117,0.04842164030040582
44b6_c771cb04,44b6,Group C: Unannotated Cells,227,53345,9172,74991,8.176079372001745,2703.780840179465,134.69682867557964,1.8807151532491198,5.288596011923554
44b6_c8e2a523,44b6,Group A: GT Cells,168,33144,17,201,11.823529411764707,1912.3401613937112,296.85200444585075,2.3340229282586855,15.432459065626016
44b6_c8e2a523,44b6,Group B: Static Optical Noise,168,33144,2355,2629,1.116348195329087,1037.3392836922455,145.31669838200804,0.034860589309961984,0.04533158353577341
44b6_c8e2a523,44b6,Group C: Unannotated Cells,168,33144,3948,39269,9.946555217831813,1186.1703566467047,177.39246315216835,2.127419998729927,12.484893544325582
44b6_c96cfa10,44b6,Group A: GT Cells,629,46236,78,915,11.73076923076923,1879.829620143068,184.05748706152144,1.6256539710801738,10.836963738279703
44b6_c96cfa10,44b6,Group B: Static Optical Noise,629,46236,3782,4181,1.1054997355896352,1491.7559977084436,119.61667157485877,0.026943802454379287,0.03614597627423393
44b6_c96cfa10,44b6,Group C: Unannotated Cells,629,46236,6178,58894,9.532858530268696,1727.574255887059,164.22039119132185,1.923616003700084,7.643201532488015
44b6_cf2536e8,44b6,Group A: GT Cells,76,57565,14,136,9.714285714285714,1163.991048678243,52.60481941135732,1.121252502403856,3.408673230648094
44b6_cf2536e8,44b6,Group B: Static Optical Noise,76,57565,5478,7018,1.2811244979919678,1090.7577882279918,52.895010428782804,0.06428055142038079,0.09218903593104762
44b6_cf2536e8,44b6,Group C: Unannotated Cells,76,57565,7147,76185,10.659717363928921,1152.2433904671602,66.37018377749263,1.5545015597915777,5.2930153873740124
44b6_cf8fed6b,44b6,Group A: GT Cells,191,43729,19,332,17.473684210526315,1518.6658624887925,198.8598230422841,2.3612995269465076,21.382821239293957
44b6_cf8fed6b,44b6,Group B: Static Optical Noise,191,43729,2257,2370,1.0500664599025256,972.0816422980357,75.6433579617986,0.015336353641810883,0.019034076002028322
44b6_cf8fed6b,44b6,Group C: Unannotated Cells,191,43729,5471,50099,9.157192469384025,1091.0527657680975,98.82992480903093,2.676760847331342,11.301492452030114
44b6_d29c9ab2,44b6,Group A: GT Cells,1353,38055,176,2103,11.948863636363637,1490.2187690547055,192.4923134136713,1.6896240225646713,7.77355134445954
44b6_d29c9ab2,44b6,Group B: Static Optical Noise,1353,38055,2850,3226,1.1319298245614036,1204.0362110832637,150.63516010676412,0.03559413261491935,0.04789249001794298
44b6_d29c9ab2,44b6,Group C: Unannotated Cells,1353,38055,4419,43843,9.921475446933695,1351.7755138820335,181.95460283110208,1.8513270864440046,6.9365696989989605
44b6_d2f34f90,44b6,Group A: GT Cells,283,24074,50,483,9.66,2456.5394721953544,158.449540291641,1.4992600435981984,6.644753630923102
44b6_d2f34f90,44b6,Group B: Static Optical Noise,283,24074,3844,4283,1.11420395421436,2883.4207001635205,98.66753384596907,0.0319296410742622,0.04095375464419184
44b6_d2f34f90,44b6,Group C: Unannotated Cells,283,24074,5392,37129,6.8859421364985165,3004.603312434158,125.76908393451508,2.1064272733855187,5.831226597957289
44b6_d5e7d891,44b6,Group A: GT Cells,906,44848,210,1652,7.866666666666666,2926.0049240314925,200.59235790859893,1.5692857907048792,5.039648526814357
44b6_d5e7d891,44b6,Group B: Static Optical Noise,906,44848,4409,5010,1.1363120889090497,2633.2210211992588,148.68713257703868,0.03700116872537838,0.047650260882129314
44b6_d5e7d891,44b6,Group C: Unannotated Cells,906,44848,6838,56664,8.286633518572682,2824.095096707843,189.4134922965945,1.9708633949997603,5.358214074737155
